k,m,window,vco_close_in_L1MHz_boundary_dbc_hz,reference_asd_boundary_as_sqrt_hz,sampler_C_each_boundary_ff,cp_period_average_asd_boundary_pa_sqrt_hz,retimer_time_asd_boundary_as_sqrt_hz
9,14,10k_to_10M,-118.8373317804654,43.71540377853426,28.601287854171403,0.34964306098022346,12.655439943366654
9,14,10k_to_fout_over_2,-119.0643650859701,43.66012849904447,28.675600378927285,0.34918971887566985,3.8491800015006077
10,12,10k_to_10M,-119.2803681583333,43.71540377853426,31.532919859223956,0.3329933914097367,12.655439943366654
10,12,10k_to_fout_over_2,-119.52143815035859,43.66011736090159,31.614865941802158,0.3325615501150045,3.651635871365703
11,12,10k_to_10M,-118.41664732571974,43.71540377853426,26.060264346466077,0.36629273055071043,12.655439943366654
11,12,10k_to_fout_over_2,-118.65324023861376,43.66011025303705,26.127997092443522,0.36581764414668594,3.4816850036195297
12,10,10k_to_10M,-119.2803681583333,43.71540377853426,31.532919859223956,0.3329933914097367,12.655439943366654
12,10,10k_to_fout_over_2,-119.53769852272077,43.66010552713185,31.61488349278221,0.3325614578043378,3.3334490801025867
13,10,10k_to_10M,-118.55453598290734,43.71540377853426,26.868286743954126,0.36074284069388146,12.655439943366654
13,10,10k_to_fout_over_2,-118.80671696871613,43.66010232999262,26.93812961938997,0.3602748856072879,3.2026657272893617
14,8,10k_to_10M,-119.91044597962937,43.71540377853426,36.198504940435654,0.31079383198242094,12.655439943366654
14,8,10k_to_fout_over_2,-120.19768251870396,43.66010010426362,36.292605079238285,0.3103906544686169,3.0861588505744844
15,8,10k_to_10M,-119.2803681583333,43.71540377853426,31.532919859223956,0.3329933914097367,12.655439943366654
15,8,10k_to_fout_over_2,-119.56089764056239,43.66009854005427,31.614893855324695,0.3325614033018218,2.9815067907831017
16,8,10k_to_10M,-118.69473688827603,43.71540377853426,27.71448034502104,0.3551929508370525,12.655439943366654
16,8,10k_to_fout_over_2,-118.96949021646073,43.660097417642255,27.786529265957782,0.3547321541806474,2.8868265247011125
17,8,10k_to_10M,-118.14750065127973,43.71540377853426,24.54985110147193,0.37739251026436826,12.655439943366654
17,8,10k_to_fout_over_2,-118.41722144937674,43.6600966088367,24.613673916803698,0.37690290666734094,2.8006288117602853
18,8,10k_to_10M,-117.63379317484117,43.71540377853426,21.89786101334996,0.3995920696916841,12.655439943366654
18,8,10k_to_fout_over_2,-117.89908644730059,43.6600960169559,21.954789998493005,0.39907366034143305,2.721718273226108
19,6,10k_to_10M,-119.74837303757764,43.71540377853426,34.93952338972183,0.3163437218392498,12.655439943366654
19,6,10k_to_fout_over_2,-120.07322730280873,43.66009558365143,35.03035816111724,0.3159333112262677,2.6491228095655615
20,6,10k_to_10M,-119.2803681583333,43.71540377853426,31.532919859223956,0.3329933914097367,12.655439943366654
20,6,10k_to_fout_over_2,-119.598091324073,43.66009526280728,31.61489871636157,0.33256137773486855,2.582042690588016
21,6,10k_to_10M,-118.8373317804654,43.71540377853426,28.601287854171403,0.34964306098022346,12.655439943366654
21,6,10k_to_fout_over_2,-119.14868626938784,43.660095025889014,28.675645412885302,0.34918944468129604,2.5198131501835155
22,6,10k_to_10M,-118.41664732571974,43.71540377853426,26.060264346466077,0.36629273055071043,12.655439943366654
22,6,10k_to_fout_over_2,-118.7222761652724,43.66009484951523,26.128015974665743,0.36581751196192186,2.4618764464760514
23,6,10k_to_10M,-118.01609915378647,43.71540377853426,23.84341766292927,0.3829424001211972,12.655439943366654
23,6,10k_to_fout_over_2,-118.31654968101009,43.6600947189533,23.905406066514992,0.3824455795163498,2.4077606809634053
24,6,10k_to_10M,-117.63379317484117,43.71540377853426,21.89786101334996,0.3995920696916841,12.655439943366654
24,6,10k_to_fout_over_2,-117.92953590169543,43.66009462180112,21.954791435475983,0.39907364728136707,2.357063525552147
25,6,10k_to_10M,-117.2680964304918,43.71540377853426,20.181068709903318,0.41624173926217095,12.655439943366654
25,6,10k_to_fout_over_2,-117.55953880161701,43.66009455012851,20.233535854959452,0.41570171521929994,2.3094395677387265
26,6,10k_to_10M,-116.91759040485728,43.71540377853426,18.65853246107926,0.43289140883265775,12.655439943366654
26,6,10k_to_fout_over_2,-117.20508797559407,43.660094497134835,18.707041332536903,0.43232978329055866,2.264590360092175
27,6,10k_to_10M,-116.58103445125093,43.71540377853426,17.302013640177748,0.4495410784031446,12.655439943366654
27,6,10k_to_fout_over_2,-116.86489941088162,43.66009445842192,17.346995835060273,0.4489578514710226,2.222256516568887
28,4,10k_to_10M,-119.91044597962937,43.71540377853426,36.198504940435654,0.31079383198242094,12.655439943366654
28,4,10k_to_fout_over_2,-120.3165206574486,43.660094430174105,36.29261474001477,0.3103906131569764,2.182211375985116
29,4,10k_to_10M,-119.58941613910281,43.71540377853426,33.74509854138115,0.32189361169607883,12.655439943366654
29,4,10k_to_fout_over_2,-119.98734855474494,43.66009440990124,33.832829944386276,0.321475992045446,2.144255878171028
30,4,10k_to_10M,-119.2803681583333,43.71540377853426,31.532919859223956,0.3329933914097367,12.655439943366654
30,4,10k_to_fout_over_2,-119.67078323357819,43.66009439543407,31.614900002827092,0.33256137096861677,2.1082143877376462
31,4,10k_to_10M,-118.98240694763436,43.71540377853426,29.53135054453856,0.34409317112339466,12.655439943366654
31,4,10k_to_fout_over_2,-119.36585817027856,43.66009438534714,29.608126967748923,0.34364674991960814,2.0739312650684174
32,4,10k_to_10M,-118.69473688827603,43.71540377853426,27.71448034502104,0.3551929508370525,12.655439943366654
32,4,10k_to_fout_over_2,-119.07171694310992,43.660094378403166,27.78653322781054,0.3547321288914796,2.0412680315031846
33,4,10k_to_10M,-118.41664732571974,43.71540377853426,26.060264346466077,0.36629273055071043,12.655439943366654
33,4,10k_to_fout_over_2,-118.78759697092956,43.660094373783856,26.128016557798812,0.3658175078797082,2.010101010741921
34,4,10k_to_10M,-118.14750065127973,43.71540377853426,24.54985110147193,0.37739251026436826,12.655439943366654
34,4,10k_to_fout_over_2,-118.51281583777127,43.660094370788755,24.613676501247408,0.3769028868798796,1.9803193547215983
35,4,10k_to_10M,-117.88672243177889,43.71540377853426,23.167043161878823,0.3884922899780262,12.655439943366654
35,4,10k_to_fout_over_2,-118.24676036947785,43.66009436895253,23.227273500320393,0.38798826588905105,1.9518233820280206
36,4,10k_to_10M,-117.63379317484117,43.71540377853426,21.89786101334996,0.3995920696916841,12.655439943366654
36,4,10k_to_fout_over_2,-117.98887727514236,43.66009436788701,21.95479169700252,0.3990736449044749,1.924523172001408
37,4,10k_to_10M,-117.3882414118308,43.71540377853426,20.730188366180826,0.4106918494053419,12.655439943366654
37,4,10k_to_fout_over_2,-117.73866553990693,43.660094367334,20.78408330171893,0.4101590239242803,1.8983373692984467
38,4,10k_to_10M,-117.14963785080329,43.71540377853426,19.65348190671853,0.4217916291189998,12.655439943366654
38,4,10k_to_fout_over_2,-117.49566986143418,43.66009436708699,19.704577590293006,0.42124440294681875,1.8731921626637438
39,4,10k_to_10M,-116.91759040485728,43.71540377853426,18.65853246107926,0.43289140883265775,12.655439943366654
39,4,10k_to_fout_over_2,-117.25947519353548,43.66009436700939,18.707041446736746,0.4323297819709487,1.84902040868117
40,4,10k_to_10M,-116.6917399416476,43.71540377853426,17.73726742081347,0.4439911885463156,12.655439943366654
40,4,10k_to_fout_over_2,-117.02970203454193,43.66009436699965,17.783381275312248,0.4434151609957435,1.825760876792075
41,4,10k_to_10M,-116.4717566308457,43.71540377853426,16.882586480250772,0.4550909682599735,12.655439943366654
41,4,10k_to_fout_over_2,-116.80600242457794,43.66009436699188,16.92647831083284,0.4545005400205539,1.8033575962328292
