k,m,n,fout_hz,fvco_hz,method,design_crossover_hz,window,high_hz,reference_fs,reference_buffer_fs,sampler_fs,charge_pump_fs,retimer_fs,output_buffer_fs,vco_fs,filter_resistor_fs,total_fs,below_200fs_in_hypothesis
9,14,126,216000000,3024000000,continuous,1000000,10k_to_10M,10000000,58.47151328618431,36.04946385727594,35.25797350435636,31.621750268397772,6.3213922517116385,6.3213922517116385,106.19241835798695,97.91456077063724,167.04955080355296,True
9,14,126,216000000,3024000000,continuous,1000000,10k_to_fout_over_2,108000000.0,58.54112584566914,36.09353578515206,35.301077803257904,31.660409137297048,20.783647418102536,20.783647418102536,109.18822257410713,98.0634885120065,171.40825554681555,True
10,12,120,240000000,2880000000,continuous,1000000,10k_to_10M,10000000,58.47151328618431,36.04946385727594,37.02087217957418,33.20283778181766,6.3213922517116385,6.3213922517116385,111.5020392758863,102.8102888091691,173.99435442502607,True
10,12,120,240000000,2880000000,continuous,1000000,10k_to_fout_over_2,120000000.0,58.541141516699206,36.09354571290469,37.066141888692,33.243438737975005,21.907989410258544,21.907989410258544,114.77116655663033,102.96669817051718,178.7269313527037,True
11,12,132,264000000,3168000000,continuous,1000000,10k_to_10M,10000000,58.47151328618431,36.04946385727594,33.65533834506743,30.1843979834706,6.3213922517116385,6.3213922517116385,101.36549025080573,93.46389891742646,160.7875754085249,True
11,12,132,264000000,3168000000,continuous,1000000,10k_to_fout_over_2,132000000.0,58.541152001268955,36.09355235503957,33.696498827099504,30.221313505106696,22.977380181387108,22.977380181387108,104.44588866845488,93.60611067546914,165.84800402160943,True
12,10,120,288000000,2880000000,continuous,1000000,10k_to_10M,10000000,58.47151328618431,36.04946385727594,37.02087217957418,33.20283778181766,6.3213922517116385,6.3213922517116385,111.5020392758863,102.8102888091691,173.99435442502607,True
12,10,120,288000000,2880000000,continuous,1000000,10k_to_fout_over_2,144000000.0,58.54115927911813,36.09355696570015,37.06615344471136,33.24344910219966,23.999166652198586,23.999166652198586,115.00660199106166,102.96673810595671,179.414120072217,True
13,10,130,312000000,3120000000,continuous,1000000,10k_to_10M,10000000,58.47151328618431,36.04946385727594,34.173112781145385,30.64877333706245,6.3213922517116385,6.3213922517116385,102.92495933158735,94.90180505461761,162.80494621056985,True
13,10,130,312000000,3120000000,continuous,1000000,10k_to_fout_over_2,156000000.0,58.5411644881723,36.093560265757716,34.21491400033296,30.686263515387687,24.979191339993395,24.979191339993395,106.26485191772974,95.04623060091365,168.5705930624147,True
14,8,112,336000000,2688000000,continuous,1000000,10k_to_10M,10000000,58.47151328618431,36.04946385727594,39.665220192400895,35.57446905194748,6.3213922517116385,6.3213922517116385,119.46647065273531,110.15388086696689,184.50850747834878,True
14,8,112,336000000,2688000000,continuous,1000000,10k_to_fout_over_2,168000000.0,58.541168314242896,36.09356268967492,39.713742131707946,35.61798682948275,25.922191265400397,25.922191265400397,123.46280540705051,110.32152687856252,190.61337719823243,True
15,8,120,360000000,2880000000,continuous,1000000,10k_to_10M,10000000,58.47151328618431,36.04946385727594,37.02087217957418,33.20283778181766,6.3213922517116385,6.3213922517116385,111.5020392758863,102.8102888091691,173.99435442502607,True
15,8,120,360000000,2880000000,continuous,1000000,10k_to_fout_over_2,180000000.0,58.54117118745002,36.09356450993566,37.06616119223789,33.243456050708744,26.83207036365253,26.83207036365253,115.34206331346498,102.96676487998866,180.42923277011906,True
16,8,128,384000000,3072000000,continuous,1000000,10k_to_10M,10000000,58.47151328618431,36.04946385727594,34.70706766835079,31.127660420454053,6.3213922517116385,6.3213922517116385,104.53316182114341,96.38464575859602,164.89116215884783,True
16,8,128,384000000,3072000000,continuous,1000000,10k_to_fout_over_2,192000000.0,58.541173386877574,36.09356590334256,34.74952745924275,31.165741250705622,27.71209122386834,27.71209122386834,108.2351926619845,96.53134671103865,171.6907842486068,True
17,8,136,408000000,3264000000,continuous,1000000,10k_to_10M,10000000,58.47151328618431,36.04946385727594,32.66547545256544,29.29662157219205,6.3213922517116385,6.3213922517116385,98.3841523022526,90.71496071397273,156.94703741718195,True
17,8,136,408000000,3264000000,continuous,1000000,10k_to_fout_over_2,204000000.0,58.54117509899557,36.09356698802696,32.705438591563365,29.332463235104896,28.565013565549037,28.565013565549037,101.96346463148218,90.85303559522646,164.1419997115874,True
18,8,144,432000000,3456000000,continuous,1000000,10k_to_10M,10000000,58.47151328618431,36.04946385727594,30.850726816311806,27.669031484848045,6.3213922517116385,6.3213922517116385,92.91836606323858,85.67524067430757,149.96604274048246,True
18,8,144,432000000,3456000000,continuous,1000000,10k_to_fout_over_2,216000000.0,58.54117645162279,36.093567844964305,30.88847051427833,27.70288260199054,29.393196491705357,29.393196491705357,96.3878281092811,85.80564726317628,157.58332654556807,True
19,6,114,456000000,2736000000,continuous,1000000,10k_to_10M,10000000,58.47151328618431,36.04946385727594,38.96933913639386,34.95035555980807,6.3213922517116385,6.3213922517116385,117.37056765882768,108.22135664123064,181.7312593988212,True
19,6,114,456000000,2736000000,continuous,1000000,10k_to_fout_over_2,228000000.0,58.541177534367606,36.09356853092335,39.017016127976056,34.99311553071716,30.198675467642627,30.198675467642627,121.86463749773593,108.38608331604337,189.47061452249145,True
20,6,120,480000000,2880000000,continuous,1000000,10k_to_10M,10000000,58.47151328618431,36.04946385727594,37.02087217957418,33.20283778181766,6.3213922517116385,6.3213922517116385,111.5020392758863,102.8102888091691,173.99435442502607,True
20,6,120,480000000,2880000000,continuous,1000000,10k_to_fout_over_2,240000000.0,58.54117841131749,36.093569086504964,37.06616589212988,33.24346026589171,30.983221265710906,30.983221265710906,115.87673454649502,102.96678112196902,182.09431409947751,True
