k,m,n,fout_hz,fvco_hz,method,design_crossover_hz,window,high_hz,reference_fs,reference_buffer_fs,sampler_fs,charge_pump_fs,retimer_fs,output_buffer_fs,vco_fs,filter_resistor_fs,total_fs,below_200fs_in_hypothesis,vco_l1mhz_dbc_hz,reference_asd_as_sqrt_hz
9,14,126,216000000,3024000000,hybrid,1000000,10k_to_10M,10000000,29.737801498664044,36.68094488436136,35.8755899385322,32.17567072105093,6.3213922517116385,6.3213922517116385,65.34882970606157,98.5166625733265,136.41144616163712,True,-125,20
9,14,126,216000000,3024000000,hybrid,1000000,10k_to_fout_over_2,108000000.0,29.77545061573631,36.728566609320616,35.92216609632175,32.21744338929291,20.783647418102536,20.783647418102536,67.7857299239036,98.67059554028613,140.56543794877388,True,-125,20
10,12,120,240000000,2880000000,hybrid,1000000,10k_to_10M,10000000,29.737801498664044,36.68094488436136,37.669369435458805,33.78445425710346,6.3213922517116385,6.3213922517116385,68.61627119136463,103.44249570199281,142.40316670623093,True,-125,20
10,12,120,240000000,2880000000,hybrid,1000000,10k_to_fout_over_2,120000000.0,29.77545821175857,36.72857620772207,37.71828425818302,33.828324399226524,21.907989410258544,21.907989410258544,71.34899073961462,103.60416381026666,146.9251917112692,True,-125,20
11,12,132,264000000,3168000000,hybrid,1000000,10k_to_10M,10000000,29.737801498664044,36.68094488436136,34.24488130496255,30.71314023373042,6.3213922517116385,6.3213922517116385,62.37842835578604,94.0386324563571,130.99652725393528,True,-125,20
11,12,132,264000000,3168000000,hybrid,1000000,10k_to_fout_over_2,132000000.0,29.775463059202202,36.7285823301767,34.289355041469626,30.753027307477172,22.977380181387108,22.977380181387108,65.01862905716953,94.18562762997564,136.05642246742752,True,-125,20
12,10,120,288000000,2880000000,hybrid,1000000,10k_to_10M,10000000,29.737801498664044,36.68094488436136,37.669369435458805,33.78445425710346,6.3213922517116385,6.3213922517116385,68.61627119136463,103.44249570199281,142.40316670623093,True,-125,20
12,10,120,288000000,2880000000,hybrid,1000000,10k_to_fout_over_2,144000000.0,29.77546628219065,36.7285864026478,37.7182947278267,33.82833378911553,23.999166652198586,23.999166652198586,71.69002266271487,103.60420817229408,147.74235911196988,True,-125,20
13,10,130,312000000,3120000000,hybrid,1000000,10k_to_10M,10000000,29.737801498664044,36.68094488436136,34.7717256327312,31.18565008348012,6.3213922517116385,6.3213922517116385,63.338096484336575,95.48538064799337,132.7423768581157,True,-125,20
13,10,130,312000000,3120000000,hybrid,1000000,10k_to_fout_over_2,156000000.0,29.775468462586623,36.72858915662524,34.816890051705485,31.226156608270745,24.979191339993395,24.979191339993395,66.33044130458622,95.63466572771868,138.62356655891202,True,-125,20
14,8,112,336000000,2688000000,hybrid,1000000,10k_to_10M,10000000,29.737801498664044,36.68094488436136,40.36003868084872,36.19762956118228,6.3213922517116385,6.3213922517116385,73.51743341931926,110.8312453949923,151.4507432669801,True,-125,20
