k,window,temperature_c,thermal_only_total_fs,is_PVT_verification
9,10k_to_10M,0,167.65645394583092,False
9,10k_to_fout_over_2,0,172.0097554875572,False
10,10k_to_10M,0,174.58849938185935,False
10,10k_to_fout_over_2,0,179.3155445652489,False
11,10k_to_10M,0,161.40735264675644,False
11,10k_to_fout_over_2,0,166.45851512014195,False
12,10k_to_10M,0,174.58849938185935,False
12,10k_to_fout_over_2,0,180.000372655482,False
13,10k_to_10M,0,163.4204243226726,False
13,10k_to_fout_over_2,0,169.1746131797412,False
14,10k_to_10M,0,185.08598957407526,False
14,10k_to_fout_over_2,0,191.18269444148672,False
15,10k_to_10M,0,174.58849938185935,False
15,10k_to_fout_over_2,0,181.01208057286252,False
16,10k_to_10M,0,165.50234795052285,False
16,10k_to_fout_over_2,0,172.28729466684376,False
17,10k_to_10M,0,157.57542277845195,False
17,10k_to_fout_over_2,0,164.75206600386136,False
18,10k_to_10M,0,150.61161906214977,False
18,10k_to_fout_over_2,0,158.2066684940648,False
19,10k_to_10M,0,182.31285735800915,False
19,10k_to_fout_over_2,0,190.03848849722584,False
20,10k_to_10M,0,174.58849938185935,False
20,10k_to_fout_over_2,0,182.67175933591076,False
21,10k_to_10M,0,167.65645394583092,False
21,10k_to_fout_over_2,0,176.12006868624152,False
22,10k_to_10M,0,161.40735264675644,False
22,10k_to_fout_over_2,0,170.27190076102465,False
23,10k_to_10M,0,155.75084051896133,False
23,10k_to_fout_over_2,0,165.0349459224279,False
24,10k_to_10M,0,150.61161906214977,False
24,10k_to_fout_over_2,0,160.33212415705214,False
25,10k_to_10M,0,145.92643865840077,False
25,10k_to_fout_over_2,0,156.09854670426665,False
26,10k_to_10M,0,141.64178476683293,False
26,10k_to_fout_over_2,0,152.27919036461407,False
27,10k_to_10M,0,137.71207802535622,False
27,10k_to_fout_over_2,0,148.82708067095228,False
28,10k_to_10M,0,185.08598957407526,False
28,10k_to_fout_over_2,0,195.66884312251872,False
29,10k_to_10M,0,179.64235482659134,False
29,10k_to_fout_over_2,0,190.59581579208412,False
30,10k_to_10M,0,174.58849938185935,False
30,10k_to_fout_over_2,0,185.9259786001642,False
31,10k_to_10M,0,169.8862875123008,False
31,10k_to_fout_over_2,0,181.6202808564727,False
32,10k_to_10M,0,165.50234795052285,False
32,10k_to_fout_over_2,0,177.64448968500324,False
33,10k_to_10M,0,161.40735264675644,False
33,10k_to_fout_over_2,0,173.96846511842512,False
34,10k_to_10M,0,157.57542277845195,False
34,10k_to_fout_over_2,0,170.56555968694315,False
35,10k_to_10M,0,153.98363656069216,False
35,10k_to_fout_over_2,0,167.4121241932384,False
36,10k_to_10M,0,150.61161906214977,False
36,10k_to_fout_over_2,0,164.48709318197416,False
37,10k_to_10M,0,147.44119851157362,False
37,10k_to_fout_over_2,0,161.77163976305243,False
38,10k_to_10M,0,144.45611684628346,False
38,10k_to_fout_over_2,0,159.2488833740855,False
39,10k_to_10M,0,141.64178476683293,False
39,10k_to_fout_over_2,0,156.90364351059293,False
40,10k_to_10M,0,138.98507350931226,False
40,10k_to_fout_over_2,0,154.72222971716556,False
41,10k_to_10M,0,136.47413706660282,False
41,10k_to_fout_over_2,0,152.69226259366198,False
9,10k_to_10M,27,170.57996745965892,False
9,10k_to_fout_over_2,27,174.8691682590051,False
10,10k_to_10M,27,177.6832542391493,False
10,10k_to_fout_over_2,27,182.33924977729552,False
11,10k_to_10M,27,164.174665709527,False
11,10k_to_fout_over_2,27,169.15137507479741,False
12,10k_to_10M,27,177.6832542391493,False
12,10k_to_fout_over_2,27,183.01276605924684,False
13,10k_to_10M,27,166.23825792528493,False
13,10k_to_fout_over_2,27,171.90643478120003,False
14,10k_to_10M,27,188.43652134903456,False
14,10k_to_fout_over_2,27,194.43806366011248,False
15,10k_to_10M,27,177.6832542391493,False
15,10k_to_fout_over_2,27,184.00791365557777,False
16,10k_to_10M,27,168.37222493865306,False
16,10k_to_fout_over_2,27,175.05436365743222,False
17,10k_to_10M,27,160.24600269538573,False
17,10k_to_fout_over_2,27,167.31591249126296,False
18,10k_to_10M,27,153.10434175296496,False
18,10k_to_fout_over_2,27,160.58876734156786,False
19,10k_to_10M,27,185.59620132866797,False
19,10k_to_fout_over_2,27,193.20016816694542,False
20,10k_to_10M,27,177.6832542391493,False
20,10k_to_fout_over_2,27,185.64081172116582,False
21,10k_to_10M,27,170.57996745965892,False
21,10k_to_fout_over_2,27,178.91380891671344,False
22,10k_to_10M,27,164.174665709527,False
22,10k_to_fout_over_2,27,172.90538378135315,False
23,10k_to_10M,27,158.3750869185824,False
23,10k_to_fout_over_2,27,167.5213606318359,False
24,10k_to_10M,27,153.10434175296496,False
24,10k_to_fout_over_2,27,162.68310425713125,False
25,10k_to_10M,27,148.297842603023,False
25,10k_to_fout_over_2,27,158.32441858758875,False
26,10k_to_10M,27,143.90094101647742,False
26,10k_to_fout_over_2,27,154.3891724825916,False
27,10k_to_10M,27,139.867089902113,False
27,10k_to_fout_over_2,27,150.82944537407963,False
28,10k_to_10M,27,188.43652134903456,False
28,10k_to_fout_over_2,27,198.8507853746374,False
29,10k_to_10M,27,182.86074624883938,False
29,10k_to_fout_over_2,27,193.64147612089513,False
30,10k_to_10M,27,177.6832542391493,False
30,10k_to_fout_over_2,27,188.84387467436923,False
31,10k_to_10M,27,172.8651055009269,False
31,10k_to_fout_over_2,27,184.41814686114105,False
32,10k_to_10M,27,168.37222493865306,False
32,10k_to_fout_over_2,27,180.32937479087386,False
33,10k_to_10M,27,164.174665709527,False
33,10k_to_fout_over_2,27,176.54681676148311,False
