kvco_gain_scale,kpd_gain_scale,extra_sample_delay,fixed_nominal_RC,sampled_radius,stable,worst_wide_fs,is_PVT_simulation
0.5,0.5,0,True,0.9678473828809413,True,257.87980958401636,False
0.5,0.5,1,True,0.9681671719124443,True,275.1450634648339,False
0.5,1,0,True,0.9313276873010266,True,191.6810377844798,False
0.5,1,1,True,0.9246606819238271,True,210.37563841639127,False
0.5,2,0,True,0.9066796535243451,True,159.5183470305002,False
0.5,2,1,True,0.9125841369894395,True,187.18127717573898,False
1,0.5,0,True,0.9313276873010266,True,195.15537430286392,False
1,0.5,1,True,0.9246606819238271,True,214.3177541234301,False
1,1,0,True,0.9066796535243451,True,161.8267802305914,False
1,1,1,True,0.9125841369894395,True,190.10342460717996,False
1,2,0,True,0.9276396193363889,True,158.63086421005886,False
1,2,1,True,0.928493767149905,True,232.26060346953778,False
2,0.5,0,True,0.9066796535243451,True,169.78428410145995,False
2,0.5,1,True,0.9125841369894395,True,200.2009903164236,False
2,1,0,True,0.9276396193363889,True,163.20595163281627,False
2,1,1,True,0.928493767149905,True,240.01065183261932,False
2,2,0,True,0.9328714250164282,True,189.7265310754842,False
2,2,1,True,1.045851460545514,False,,False
