k,fout_hz,reported_window_fs,full_predivider_2GHz_variance_screen_fs,exact_edge_aliasing_model
9,216000000,141.5208773729378,152.9275683940876,False
10,240000000,147.02054972184638,159.02726729933755,False
11,264000000,137.83503569443016,148.36694842371128,False
12,288000000,147.85500695880444,159.62979591760103,False
13,312000000,140.14294417506116,150.6743299783814,False
14,336000000,156.37276050346804,168.9650155887931,False
15,360000000,149.0849979159952,160.52934854628595,False
16,384000000,142.89886559305512,153.33715079314982,False
17,408000000,137.6158038571853,147.16606204795244,False
18,432000000,133.08107603433237,141.84276095565454,False
19,456000000,156.32344965681932,168.08699509655577,False
20,480000000,151.0957698967576,162.01750443916532,False
21,504000000,146.48910667052292,156.64878287088072,False
22,528000000,142.41688566344774,151.8840063488062,False
23,552000000,138.8074365607337,147.6430121718139,False
24,576000000,135.60092775663765,143.85885038996716,False
25,600000000,132.74701499038454,140.47516231082386,False
26,624000000,130.20304435542678,137.44416313970987,False
27,648000000,127.93264330096434,134.72507191010013,False
28,672000000,161.8267802305914,172.89643285192756,False
29,696000000,158.26674163137216,168.7515543398805,False
30,720000000,155.0142831056893,164.95354420167803,False
31,744000000,152.03899575968316,161.46844792410454,False
32,768000000,149.31421610084197,158.26648986238735,False
33,792000000,146.81646716774438,155.32144534662365,False
34,816000000,144.5249938355616,152.6101235786859,False
35,840000000,142.4213813098721,150.11193911583794,False
36,864000000,140.48923370203184,147.80855467638855,False
37,888000000,138.71390693388065,145.68358174060285,False
38,912000000,137.08228168768008,143.7223282727475,False
39,936000000,135.5825722046934,141.91158508442916,False
40,960000000,134.20416273094062,140.23944405978892,False
41,984000000,132.9374680135761,138.6951427900222,False
