k,m,n,fout_hz,fvco_hz,method,design_crossover_hz,window,high_hz,reference_fs,reference_buffer_fs,sampler_fs,charge_pump_fs,retimer_fs,output_buffer_fs,vco_fs,filter_resistor_fs,total_fs,below_200fs_in_hypothesis
9,14,126,216000000,3024000000,hybrid,1000000,10k_to_10M,10000000,59.47560299732809,36.68094488436136,25.36787292460399,16.087835360525464,6.3213922517116385,6.3213922517116385,110.0313668217344,24.629165643331625,136.30335277518785,True
9,14,126,216000000,3024000000,hybrid,1000000,10k_to_fout_over_2,108000000.0,59.55090123147262,36.728566609320616,25.400807241618605,16.108721694646455,20.783647418102536,20.783647418102536,112.94138508567879,24.667648885071532,141.5208773729378,True
10,12,120,240000000,2880000000,hybrid,1000000,10k_to_10M,10000000,59.47560299732809,36.68094488436136,26.636266570834188,16.89222712855173,6.3213922517116385,6.3213922517116385,115.53293516282112,25.860623925498203,141.33020937100864,True
10,12,120,240000000,2880000000,hybrid,1000000,10k_to_fout_over_2,120000000.0,59.55091642351714,36.72857620772207,26.67085457368302,16.914162199613262,21.907989410258544,21.907989410258544,118.70777057275916,25.901040952566664,147.02054972184638,True
11,12,132,264000000,3168000000,hybrid,1000000,10k_to_10M,10000000,59.47560299732809,36.68094488436136,24.214787791667447,15.35657011686521,6.3213922517116385,6.3213922517116385,105.02994105711011,23.509658114089277,131.7912432832941,True
11,12,132,264000000,3168000000,hybrid,1000000,10k_to_fout_over_2,132000000.0,59.550926118404405,36.7285823301767,24.246235472336302,15.376513653738586,22.977380181387108,22.977380181387108,108.0209475905657,23.54640690749391,137.83503569443016,True
12,10,120,288000000,2880000000,hybrid,1000000,10k_to_10M,10000000,59.47560299732809,36.68094488436136,26.636266570834188,16.89222712855173,6.3213922517116385,6.3213922517116385,115.53293516282112,25.860623925498203,141.33020937100864,True
12,10,120,288000000,2880000000,hybrid,1000000,10k_to_fout_over_2,144000000.0,59.5509325643813,36.7285864026478,26.670861976839067,16.914166894557766,23.999166652198586,23.999166652198586,118.93524304049369,25.90105204307352,147.85500695880444,True
13,10,130,312000000,3120000000,hybrid,1000000,10k_to_10M,10000000,59.47560299732809,36.68094488436136,24.587322988462326,15.59282504174006,6.3213922517116385,6.3213922517116385,106.64578630414255,23.87134516199834,133.24262294888496,True
13,10,130,312000000,3120000000,hybrid,1000000,10k_to_fout_over_2,156000000.0,59.55093692517325,36.72858915662524,24.619259055387396,15.613078304135373,24.979191339993395,24.979191339993395,109.88776542832944,23.90866643192967,140.14294417506116,True
14,8,112,336000000,2688000000,hybrid,1000000,10k_to_10M,10000000,59.47560299732809,36.68094488436136,28.53885704017949,18.09881478059114,6.3213922517116385,6.3213922517116385,123.7852876744512,27.707811348748073,148.98091415181926,True
