kvco_mhz_v,kpd_uA_rad,cp_noise_scaling,c1_pf,c2_pf,r_ohm,filter_cap_area_mm2_at_1ff_um2,worst_wide_fs,filter_resistor_fs,charge_pump_fs,sampler_fs,fine_tuning_span_mhz_assumed_0p8V,maximum_coarse_step_mhz_20pct_overlap,minimum_uniform_frequency_code_count_no_PVT,uniform_frequency_binary_bits_no_PVT,minimum_uniform_capacitance_code_count_no_PVT,uniform_capacitance_binary_bits_no_PVT
10.0,0.3,sqrt(Kpd/Kpd0),1.790493109783823,0.11936620731892153,355555.5555555555,0.002291831180523293,177.80269751101542,55.502283607819535,51.25767952477054,40.41246915619812,8.0,6.4,196,8,352,9
10.0,0.6,sqrt(Kpd/Kpd0),3.580986219567646,0.23873241463784306,177777.77777777775,0.004583662361046586,169.58735991877518,39.24604111042815,36.24465277985209,40.41246915619812,8.0,6.4,196,8,352,9
10.0,1.2,sqrt(Kpd/Kpd0),7.161972439135292,0.4774648292756861,88888.88888888888,0.009167324722093173,165.32667463308357,27.751141803909768,25.62883976238527,40.41246915619812,8.0,6.4,196,8,352,9
10.0,2.4,sqrt(Kpd/Kpd0),14.323944878270584,0.9549296585513722,44444.44444444444,0.018334649444186345,163.15461285461745,19.623020555214076,18.122326389926044,40.41246915619812,8.0,6.4,196,8,352,9
20.0,0.3,sqrt(Kpd/Kpd0),3.580986219567646,0.23873241463784306,177777.77777777775,0.004583662361046586,186.26406719460545,78.4920822208563,51.25767952477054,40.41246915619812,16.0,12.8,99,7,177,8
20.0,0.6,sqrt(Kpd/Kpd0),7.161972439135292,0.4774648292756861,88888.88888888888,0.009167324722093173,174.06930914742443,55.502283607819535,36.24465277985209,40.41246915619812,16.0,12.8,99,7,177,8
20.0,1.2,sqrt(Kpd/Kpd0),14.323944878270584,0.9549296585513722,44444.44444444444,0.018334649444186345,167.63959919020976,39.24604111042815,25.62883976238527,40.41246915619812,16.0,12.8,99,7,177,8
20.0,2.4,sqrt(Kpd/Kpd0),28.64788975654117,1.9098593171027445,22222.22222222222,0.03666929888837269,164.33043123977515,27.751141803909768,18.122326389926044,40.41246915619812,16.0,12.8,99,7,177,8
40.0,0.3,sqrt(Kpd/Kpd0),7.161972439135292,0.4774648292756861,88888.88888888888,0.009167324722093173,202.12696430521623,111.00456721563907,51.25767952477054,40.41246915619812,32.0,25.6,50,6,89,7
40.0,0.6,sqrt(Kpd/Kpd0),14.323944878270584,0.9549296585513722,44444.44444444444,0.018334649444186345,182.70366135560735,78.4920822208563,36.24465277985209,40.41246915619812,32.0,25.6,50,6,89,7
40.0,1.2,sqrt(Kpd/Kpd0),28.64788975654117,1.9098593171027445,22222.22222222222,0.03666929888837269,172.1722595527386,55.502283607819535,25.62883976238527,40.41246915619812,32.0,25.6,50,6,89,7
40.0,2.4,sqrt(Kpd/Kpd0),57.29577951308234,3.819718634205489,11111.11111111111,0.07333859777674538,166.6571825721027,39.24604111042815,18.122326389926044,40.41246915619812,32.0,25.6,50,6,89,7
80.0,0.3,sqrt(Kpd/Kpd0),14.323944878270584,0.9549296585513722,44444.44444444444,0.018334649444186345,230.60208941372036,156.9841644417126,51.25767952477054,40.41246915619812,64.0,51.2,26,5,45,6
80.0,0.6,sqrt(Kpd/Kpd0),28.64788975654117,1.9098593171027445,22222.22222222222,0.03666929888837269,198.8507853746374,111.00456721563907,36.24465277985209,40.41246915619812,64.0,51.2,26,5,45,6
80.0,1.2,sqrt(Kpd/Kpd0),57.29577951308234,3.819718634205489,11111.11111111111,0.07333859777674538,180.8971819713575,78.4920822208563,25.62883976238527,40.41246915619812,64.0,51.2,26,5,45,6
80.0,2.4,sqrt(Kpd/Kpd0),114.59155902616467,7.639437268410978,5555.555555555555,0.14667719555349076,171.2158527873882,55.502283607819535,18.122326389926044,40.41246915619812,64.0,51.2,26,5,45,6
