k,m,n,fout_hz,fvco_hz,initial_code,phase0_rad,bank_scale,target_hz,selected_code,searches,trials_last_search,handoff_us,settled,settling_us,final_error_hz,final_phase_rad,control_min_v,control_max_v,rail_violation_cycles
9,14,126,216000000,3024000000,0,0.0,1.0,3024000000,148,1,9,13.208333333333334,True,15.125,-1.430511474609375e-06,-1.134807429513124e-12,0.6,0.7217458623051829,0
9,14,126,216000000,3024000000,0,0.7,1.0,3024000000,148,1,9,13.208333333333334,True,14.666666666666666,-4.76837158203125e-07,-1.134807429513124e-12,0.6,0.7125,0
9,14,126,216000000,3024000000,0,2.8,1.0,3024000000,148,1,9,13.208333333333334,True,15.583333333333334,-1.430511474609375e-06,6.841819740327325e-13,0.6,0.7125,0
9,14,126,216000000,3024000000,0,3.1405926535897932,1.0,3024000000,148,1,9,13.208333333333334,True,15.666666666666666,0.0,-2.253127277401958e-13,0.6,0.7007948353188845,0
9,14,126,216000000,3024000000,127,0.0,1.0,3024000000,147,1,8,11.75,True,14.083333333333332,0.0,9.014885995252331e-14,0.44215725410065376,0.6,0
9,14,126,216000000,3024000000,127,0.7,1.0,3024000000,147,1,8,11.75,True,14.583333333333334,0.0,-1.3722481549070874e-13,0.4340062131112641,0.6,0
9,14,126,216000000,3024000000,127,2.8,1.0,3024000000,148,1,8,11.75,True,13.916666666666666,0.0,6.858764851989084e-14,0.6,0.7388863096007867,0
9,14,126,216000000,3024000000,127,3.1405926535897932,1.0,3024000000,148,1,8,11.75,True,13.833333333333334,0.0,2.959613239631229e-13,0.6,0.7321686229861035,0
9,14,126,216000000,3024000000,255,0.0,1.0,3024000000,148,1,9,13.208333333333334,True,15.541666666666668,0.0,-9.022808947400662e-14,0.6,0.7007398839052743,0
9,14,126,216000000,3024000000,255,0.7,1.0,3024000000,147,1,9,13.208333333333334,True,15.666666666666666,-3.814697265625e-06,-9.022808947400662e-14,0.4389463442194207,0.6,0
9,14,126,216000000,3024000000,255,2.8,1.0,3024000000,147,1,9,13.208333333333334,True,15.458333333333334,-3.814697265625e-06,-3.3916297634987116e-13,0.4811552812036333,0.6,0
9,14,126,216000000,3024000000,255,3.1405926535897932,1.0,3024000000,148,1,9,13.208333333333334,True,15.375000000000002,-1.430511474609375e-06,5.703317254230571e-13,0.6,0.7402199924124693,0
10,12,120,240000000,2880000000,0,0.0,1.0,2880000000,183,1,9,13.208333333333334,True,15.5,-4.76837158203125e-06,-1.00928475299821e-12,0.5925907069856126,0.6375,0
10,12,120,240000000,2880000000,0,0.7,1.0,2880000000,183,1,9,13.208333333333334,True,15.916666666666666,-5.7220458984375e-06,-1.00928475299821e-12,0.5851621563296844,0.6375,0
10,12,120,240000000,2880000000,0,2.8,1.0,2880000000,183,1,9,13.208333333333334,True,15.333333333333334,0.0,-3.487249381011464e-13,0.6,0.6678281861371859,0
10,12,120,240000000,2880000000,0,3.1405926535897932,1.0,2880000000,183,1,9,13.208333333333334,True,15.25,0.0,-3.487249381011464e-13,0.6,0.6608597194914652,0
10,12,120,240000000,2880000000,127,0.0,1.0,2880000000,183,1,8,11.75,True,13.125,0.0,-7.859636471297526e-13,0.6,0.6375,0
10,12,120,240000000,2880000000,127,0.7,1.0,2880000000,183,1,8,11.75,True,13.708333333333334,1.430511474609375e-06,1.2353105464317557e-13,0.6,0.6375,0
10,12,120,240000000,2880000000,127,2.8,1.0,2880000000,183,1,8,11.75,True,14.333333333333334,0.0,-1.2540383223268897e-13,0.6,0.6839201141920674,0
10,12,120,240000000,2880000000,127,3.1405926535897932,1.0,2880000000,183,1,8,11.75,True,14.208333333333332,0.0,-5.801511831191531e-13,0.6,0.6814311292404929,0
10,12,120,240000000,2880000000,255,0.0,1.0,2880000000,183,1,9,13.208333333333334,True,14.25,4.76837158203125e-07,-3.7226786771533185e-14,0.6,0.6375,0
10,12,120,240000000,2880000000,255,0.7,1.0,2880000000,183,1,9,13.208333333333334,True,14.916666666666668,0.0,-3.7226786771533185e-14,0.6,0.6375,0
10,12,120,240000000,2880000000,255,2.8,1.0,2880000000,183,1,9,13.208333333333334,True,16.375,0.0,3.9595935268229847e-13,0.6,0.6838785042044206,0
10,12,120,240000000,2880000000,255,3.1405926535897932,1.0,2880000000,183,1,9,13.208333333333334,True,15.833333333333334,0.0,1.685856772390664e-13,0.6,0.6839702526283882,0
11,12,132,264000000,3168000000,0,0.0,1.0,3168000000,117,1,9,13.208333333333334,True,15.958333333333332,1.430511474609375e-06,4.253602843675111e-12,0.5553845795131183,0.6131772355040441,0
11,12,132,264000000,3168000000,0,0.7,1.0,3168000000,117,1,9,13.208333333333334,True,15.625,1.430511474609375e-06,3.095173255026318e-12,0.6,0.6728004741041638,0
11,12,132,264000000,3168000000,0,2.8,1.0,3168000000,117,1,9,13.208333333333334,True,15.166666666666666,1.430511474609375e-06,3.095173255026318e-12,0.6,0.6375,0
11,12,132,264000000,3168000000,0,3.1405926535897932,1.0,3168000000,117,1,9,13.208333333333334,True,15.0,1.430511474609375e-06,3.095173255026318e-12,0.5993711334425822,0.6131772355040327,0
11,12,132,264000000,3168000000,127,0.0,1.0,3168000000,117,1,8,11.75,True,13.958333333333334,-4.76837158203125e-07,7.845662466691392e-14,0.6,0.6518437944406745,0
11,12,132,264000000,3168000000,127,0.7,1.0,3168000000,117,1,8,11.75,True,13.75,0.0,7.845662466691392e-14,0.6,0.6375,0
11,12,132,264000000,3168000000,127,2.8,1.0,3168000000,117,1,7,10.291666666666666,True,12.583333333333334,0.0,2.011429252109187e-15,0.5655564792590315,0.6131772355038532,0
11,12,132,264000000,3168000000,127,3.1405926535897932,1.0,3168000000,117,1,7,10.291666666666666,True,12.666666666666666,0.0,2.011429252109187e-15,0.5616702131294077,0.6131772355038511,0
11,12,132,264000000,3168000000,255,0.0,1.0,3168000000,117,1,9,13.208333333333334,True,15.5,0.0,-7.85259504982118e-15,0.6,0.6611191295875827,0
11,12,132,264000000,3168000000,255,0.7,1.0,3168000000,117,1,9,13.208333333333334,True,15.333333333333334,0.0,-7.85259504982118e-15,0.6,0.6447454699271905,0
11,12,132,264000000,3168000000,255,2.8,1.0,3168000000,117,1,8,11.75,True,13.958333333333334,0.0,2.938904725699012e-14,0.5724263393928534,0.6131772355038465,0
11,12,132,264000000,3168000000,255,3.1405926535897932,1.0,3168000000,117,1,8,11.75,True,14.041666666666666,0.0,2.938904725699012e-14,0.5664280364323275,0.6131772355038463,0
12,10,120,288000000,2880000000,0,0.0,1.0,2880000000,183,1,9,13.208333333333334,True,15.5,-4.76837158203125e-06,-1.00928475299821e-12,0.5925907069856126,0.6375,0
12,10,120,288000000,2880000000,0,0.7,1.0,2880000000,183,1,9,13.208333333333334,True,15.916666666666666,-5.7220458984375e-06,-1.00928475299821e-12,0.5851621563296844,0.6375,0
12,10,120,288000000,2880000000,0,2.8,1.0,2880000000,183,1,9,13.208333333333334,True,15.333333333333334,0.0,-3.487249381011464e-13,0.6,0.6678281861371859,0
12,10,120,288000000,2880000000,0,3.1405926535897932,1.0,2880000000,183,1,9,13.208333333333334,True,15.25,0.0,-3.487249381011464e-13,0.6,0.6608597194914652,0
12,10,120,288000000,2880000000,127,0.0,1.0,2880000000,183,1,8,11.75,True,13.125,0.0,-7.859636471297526e-13,0.6,0.6375,0
