k,m,n,fout_hz,fvco_hz,initial_code,phase0_rad,bank_scale,target_hz,selected_code,searches,trials_last_search,handoff_us,settled,settling_us,final_error_hz,final_phase_rad,control_min_v,control_max_v,rail_violation_cycles
9,14,126,216000000,3024000000,127,0.7,0.99,3024000000,141,1,8,11.75,True,13.625,4.76837158203125e-07,5.856021332990115e-15,0.6,0.6901422649388366,0
9,14,126,216000000,3024000000,127,0.7,1.01,3024000000,155,1,8,11.75,True,14.125,0.0,-3.13583858258113e-14,0.6,0.7156386432555241,0
10,12,120,240000000,2880000000,127,0.7,0.99,2880000000,175,1,8,11.75,True,12.833333333333332,0.0,1.0782586454353321e-13,0.525,0.6,0
10,12,120,240000000,2880000000,127,0.7,1.01,2880000000,191,1,8,11.75,True,13.583333333333332,-1.430511474609375e-06,2.2541968759419827e-12,0.6,0.6989959325479965,0
11,12,132,264000000,3168000000,127,0.7,0.99,3168000000,111,1,8,11.75,True,14.0,0.0,1.999762500579803e-13,0.6,0.7164544052743818,0
11,12,132,264000000,3168000000,127,0.7,1.01,3168000000,123,1,8,11.75,True,14.166666666666666,2.384185791015625e-06,1.266304971643253e-12,0.4835014323896902,0.6,0
12,10,120,288000000,2880000000,127,0.7,0.99,2880000000,175,1,8,11.75,True,12.833333333333332,0.0,1.0782586454353321e-13,0.525,0.6,0
12,10,120,288000000,2880000000,127,0.7,1.01,2880000000,191,1,8,11.75,True,13.583333333333332,-1.430511474609375e-06,2.2541968759419827e-12,0.6,0.6989959325479965,0
13,10,130,312000000,3120000000,127,0.7,0.99,3120000000,120,1,8,11.75,True,13.708333333333334,-4.76837158203125e-07,-2.3463700092702113e-14,0.5412327112323518,0.6,0
13,10,130,312000000,3120000000,127,0.7,1.01,3120000000,133,1,8,11.75,True,13.583333333333332,0.0,-1.166316846614263e-12,0.5578924479337738,0.6,0
14,8,112,336000000,2688000000,127,0.7,0.99,2688000000,230,1,8,11.75,True,14.083333333333332,2.384185791015625e-06,1.7073288506116277e-12,0.5472064068186921,0.6,0
14,8,112,336000000,2688000000,127,0.7,1.01,2688000000,248,1,8,11.75,True,13.708333333333334,-4.76837158203125e-07,-4.107137885241411e-14,0.6,0.6375,0
15,8,120,360000000,2880000000,127,0.7,0.99,2880000000,175,1,8,11.75,True,12.833333333333332,0.0,1.0782586454353321e-13,0.525,0.6,0
15,8,120,360000000,2880000000,127,0.7,1.01,2880000000,191,1,8,11.75,True,13.583333333333332,-1.430511474609375e-06,2.2541968759419827e-12,0.6,0.6989959325479965,0
16,8,128,384000000,3072000000,127,0.7,0.99,3072000000,130,1,8,11.75,True,13.5,4.76837158203125e-07,1.9987721315612617e-13,0.5474096367209217,0.6,0
16,8,128,384000000,3072000000,127,0.7,1.01,3072000000,144,1,8,11.75,True,13.708333333333334,4.76837158203125e-07,-1.0937756654214516e-12,0.6,0.696778718867411,0
17,8,136,408000000,3264000000,127,0.7,0.99,3264000000,93,1,8,11.75,True,13.625,0.0,-4.1552894224319256e-13,0.6,0.6550128363923392,0
17,8,136,408000000,3264000000,127,0.7,1.01,3264000000,105,1,8,11.75,True,13.791666666666668,0.0,-4.310261548489413e-14,0.6,0.6800522153423149,0
18,8,144,432000000,3456000000,127,0.7,0.99,3456000000,62,1,8,11.75,True,13.541666666666666,0.0,-9.772415167715292e-16,0.6,0.7521868945940179,0
18,8,144,432000000,3456000000,127,0.7,1.01,3456000000,72,1,8,11.75,True,14.291666666666668,0.0,9.368822234679947e-13,0.5123937026781054,0.6,0
19,6,114,456000000,2736000000,127,0.7,0.99,2736000000,215,1,8,11.75,True,12.666666666666666,4.76837158203125e-07,8.683837081597724e-13,0.5154129877030034,0.6,0
19,6,114,456000000,2736000000,127,0.7,1.01,2736000000,232,1,8,11.75,True,14.041666666666666,-1.9073486328125e-06,-1.2896894422144719e-12,0.5025159918384137,0.6,0
20,6,120,480000000,2880000000,127,0.7,0.99,2880000000,175,1,8,11.75,True,12.833333333333332,0.0,1.0782586454353321e-13,0.525,0.6,0
