k,m,n,fout_hz,fvco_hz,ideal_half_period_s,ideal_phase_noise_reduction_db
9,14,126,216000000,3024000000,2.3148148148148148e-09,22.92256071356476
10,12,120,240000000,2880000000,2.0833333333333334e-09,21.5836249209525
11,12,132,264000000,3168000000,1.893939393939394e-09,21.5836249209525
12,10,120,288000000,2880000000,1.736111111111111e-09,20.0
13,10,130,312000000,3120000000,1.6025641025641025e-09,20.0
14,8,112,336000000,2688000000,1.4880952380952381e-09,18.06179973983887
15,8,120,360000000,2880000000,1.388888888888889e-09,18.06179973983887
16,8,128,384000000,3072000000,1.3020833333333334e-09,18.06179973983887
17,8,136,408000000,3264000000,1.2254901960784314e-09,18.06179973983887
18,8,144,432000000,3456000000,1.1574074074074074e-09,18.06179973983887
19,6,114,456000000,2736000000,1.0964912280701755e-09,15.563025007672874
20,6,120,480000000,2880000000,1.0416666666666667e-09,15.563025007672874
21,6,126,504000000,3024000000,9.92063492063492e-10,15.563025007672874
22,6,132,528000000,3168000000,9.46969696969697e-10,15.563025007672874
23,6,138,552000000,3312000000,9.057971014492754e-10,15.563025007672874
24,6,144,576000000,3456000000,8.680555555555555e-10,15.563025007672874
25,6,150,600000000,3600000000,8.333333333333334e-10,15.563025007672874
26,6,156,624000000,3744000000,8.012820512820512e-10,15.563025007672874
27,6,162,648000000,3888000000,7.71604938271605e-10,15.563025007672874
28,4,112,672000000,2688000000,7.440476190476191e-10,12.041199826559248
29,4,116,696000000,2784000000,7.183908045977011e-10,12.041199826559248
30,4,120,720000000,2880000000,6.944444444444445e-10,12.041199826559248
31,4,124,744000000,2976000000,6.720430107526882e-10,12.041199826559248
32,4,128,768000000,3072000000,6.510416666666667e-10,12.041199826559248
33,4,132,792000000,3168000000,6.313131313131313e-10,12.041199826559248
34,4,136,816000000,3264000000,6.127450980392157e-10,12.041199826559248
35,4,140,840000000,3360000000,5.952380952380953e-10,12.041199826559248
36,4,144,864000000,3456000000,5.787037037037037e-10,12.041199826559248
37,4,148,888000000,3552000000,5.63063063063063e-10,12.041199826559248
38,4,152,912000000,3648000000,5.482456140350878e-10,12.041199826559248
39,4,156,936000000,3744000000,5.341880341880342e-10,12.041199826559248
40,4,160,960000000,3840000000,5.208333333333333e-10,12.041199826559248
41,4,164,984000000,3936000000,5.08130081300813e-10,12.041199826559248
