closed_loop_reference_fs,output_chain_fs,remaining_internal_rss_boundary_fs,positive_variance_margin
50,0,193.64916731037084,True
50,50,187.08286933869707,True
50,80,176.351920885484,True
50,100,165.83123951777,True
100,0,173.20508075688772,True
100,50,165.83123951777,True
100,80,153.62291495737216,True
100,100,141.4213562373095,True
150,0,132.28756555322954,True
150,50,122.47448713915891,True
150,80,105.35653752852738,True
150,100,86.60254037844386,True
180,0,87.17797887081348,True
180,50,71.4142842854285,True
180,80,34.64101615137755,True
180,100,,False
200,0,,False
200,50,,False
200,80,,False
200,100,,False
