corner,K,M,target_vco_MHz,code,frequency_at_0p2V_MHz,frequency_at_1V_MHz,nearest_endpoint_margin_MHz,vco_power_max_mW,measured_branch_power_max_mW
tt,9,14,3024.0,151,3014.661843607361,3028.8491793366134,4.849179336613179,1.969244625638553,3.350762745062183
tt,10,12,2880.0,186,2873.3690576032345,2885.706885813849,5.706885813849449,2.0807661717113013,3.303184835651267
tt,11,12,3168.0,119,3165.281282339986,3181.5467812459365,2.7187176600141525,1.870994131427929,3.095603748295653
tt,12,10,2880.0,187,2873.453732508665,2885.7840668960835,5.784066896083355,2.0811074061725128,3.1456162440752573
tt,13,10,3120.0,129,3111.0688394249414,3126.6354316377283,6.635431637728691,1.9262479336393228,2.991475430311605
tt,14,8,2688.0,243,2680.8753540728485,2691.0611228076386,3.061122807638645,2.241426753692451,3.4784998373728673
tt,15,8,2880.0,186,2873.3304492015027,2885.677454013129,5.677454013129235,2.080788234501908,3.320185772273606
tt,16,8,3072.0,139,3067.1273425020267,3082.0977728015487,4.872657497972965,1.9482916906598304,3.1892254935237982
tt,17,8,3264.0,101,3254.005851582987,3271.7800926719865,7.78009267198658,1.8273830778110431,3.0699931894032724
tt,18,8,3456.0,68,3442.294043598312,3463.253384730136,7.253384730135918,1.7379193173690792,2.9811365327201327
tt,19,6,2736.0,228,2727.837687468593,2738.47437678563,2.474376785629749,2.1982883657154355,3.197964772782049
tt,20,6,2880.0,187,2874.640848292923,2887.0011428725984,5.359151707077026,2.081299802515826,3.0846859561968816
tt,21,6,3024.0,151,3018.523377231552,3032.7039218390337,5.476622768448353,1.9698235053807445,2.973821472519592
tt,22,6,3168.0,120,3157.9342018555913,3174.236151531699,6.236151531698704,1.8933595008210156,2.899404909535582
tt,23,6,3312.0,93,3303.1547631928142,3321.6462442903653,8.84523680718565,1.8043337775141766,2.812240078361405
tt,24,6,3456.0,69,3441.854678021899,3462.7678753376126,6.767875337612629,1.7384894054158642,2.747336668257073
tt,25,6,3600.0,47,3595.4640103251963,3619.255069584234,4.535989674803734,1.6670107835286216,2.6785748918906562
tt,26,6,3744.0,28,3732.618874024591,3759.2441180220344,11.381125975408555,1.6215900104303236,2.6340382299936267
tt,27,6,3888.0,10,3883.7305025186797,3913.5545317200144,4.269497481319904,1.5780645968679088,2.592831349215557
tt,28,4,2688.0,244,2680.0306397799436,2690.080144509597,2.0801445095973015,2.2420543995944566,3.177548531810923
tt,29,4,2784.0,213,2781.2188112081935,2792.517933690834,2.7811887918066978,2.15302025384556,3.090148703201241
tt,30,4,2880.0,187,2876.227031224015,2888.6215373814725,3.772968775984764,2.0815364448044096,3.02123883467535
tt,31,4,2976.0,162,2969.4863868723187,2983.0952853236217,6.513613127681255,2.0158645720131645,2.9557775861975237
tt,32,4,3072.0,140,3064.1723480897112,3079.020792016834,7.0207920168342595,1.9485949515447512,2.890488136804678
tt,33,4,3168.0,120,3159.5865551921306,3175.8495407888277,7.8495407888278965,1.8935560727567438,2.8379068453119656
tt,34,4,3264.0,102,3252.908587190523,3270.654301418998,6.654301418997765,1.8279999013909587,2.7739094295696645
tt,35,4,3360.0,85,3348.2130636711177,3367.5135017751536,7.513501775153637,1.7822807988453329,2.7296018338801433
tt,36,4,3456.0,69,3443.3935230077263,3464.3047587757887,8.304758775788784,1.7388866334117294,2.68767285317615
tt,37,4,3552.0,55,3540.6151766871403,3563.3139554001355,11.313955400135518,1.688776780335807,2.640214917110282
tt,38,4,3648.0,42,3627.248191020242,3651.7420049761445,3.742004976144314,1.667329855342202,2.6196750713070465
